2021-09-07 Tuesday 17:51:48 root:DEBUG: At frame index 93, adding ID pair [22, 7] to the ids to ignore.
2021-09-07 Tuesday 17:51:48 root:DEBUG: At frame index 94, Removing ID pair [22, 7] to the ids to ignore.
2021-09-07 Tuesday 17:51:49 root:DEBUG: At frame index 97, adding ID pair [21, 5] to the ids to ignore.
2021-09-07 Tuesday 17:51:49 root:DEBUG: At frame index 98, Removing ID pair [21, 5] to the ids to ignore.
2021-09-07 Tuesday 17:51:50 root:DEBUG: At frame index 101, adding ID pair [19, 21] to the ids to ignore.
2021-09-07 Tuesday 17:51:50 root:DEBUG: At frame index 102, Removing ID pair [19, 21] to the ids to ignore.
2021-09-07 Tuesday 17:51:51 root:DEBUG: At frame index 103, adding ID pair [13, 7] to the ids to ignore.
2021-09-07 Tuesday 17:51:51 root:DEBUG: At frame index 104, Removing ID pair [13, 7] to the ids to ignore.
2021-09-07 Tuesday 17:51:54 root:DEBUG: At frame index 115, adding ID pair [13, 7] to the ids to ignore.
2021-09-07 Tuesday 17:51:54 root:DEBUG: At frame index 115, adding ID pair [22, 12] to the ids to ignore.
2021-09-07 Tuesday 17:51:55 root:DEBUG: At frame index 116, Removing ID pair [22, 12] to the ids to ignore.
2021-09-07 Tuesday 17:51:55 root:DEBUG: At frame index 116, Removing ID pair [13, 7] to the ids to ignore.
2021-09-07 Tuesday 17:52:06 root:DEBUG: At frame index 153, adding ID pair [12, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:06 root:DEBUG: At frame index 154, Removing ID pair [12, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:07 root:DEBUG: At frame index 157, adding ID pair [2, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:07 root:DEBUG: At frame index 158, Removing ID pair [2, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:08 root:DEBUG: At frame index 163, adding ID pair [11, 4] to the ids to ignore.
2021-09-07 Tuesday 17:52:09 root:DEBUG: At frame index 164, Removing ID pair [11, 4] to the ids to ignore.
2021-09-07 Tuesday 17:52:20 root:DEBUG: At frame index 206, adding ID pair [3, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:20 root:DEBUG: At frame index 207, Removing ID pair [3, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:22 root:DEBUG: At frame index 213, adding ID pair [3, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:22 root:DEBUG: At frame index 214, Removing ID pair [3, 12] to the ids to ignore.
2021-09-07 Tuesday 17:52:29 root:DEBUG: At frame index 237, adding ID pair [7, 10] to the ids to ignore.
2021-09-07 Tuesday 17:52:29 root:DEBUG: At frame index 238, Removing ID pair [7, 10] to the ids to ignore.
2021-09-07 Tuesday 17:52:42 root:DEBUG: At frame index 285, adding ID pair [12, 13] to the ids to ignore.
2021-09-07 Tuesday 17:52:42 root:DEBUG: At frame index 286, Removing ID pair [12, 13] to the ids to ignore.
2021-09-07 Tuesday 17:52:45 root:DEBUG: At frame index 297, adding ID pair [12, 10] to the ids to ignore.
2021-09-07 Tuesday 17:52:45 root:DEBUG: At frame index 298, Removing ID pair [12, 10] to the ids to ignore.
2021-09-07 Tuesday 17:52:45 root:DEBUG: At frame index 300, adding ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:46 root:DEBUG: At frame index 301, Removing ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:49 root:DEBUG: At frame index 313, adding ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:49 root:DEBUG: At frame index 314, Removing ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:53 root:DEBUG: At frame index 330, adding ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:54 root:DEBUG: At frame index 331, Removing ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:56 root:DEBUG: At frame index 339, adding ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:52:56 root:DEBUG: At frame index 340, Removing ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:02 root:DEBUG: At frame index 361, adding ID pair [1, 26] to the ids to ignore.
2021-09-07 Tuesday 17:53:02 root:DEBUG: At frame index 361, adding ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:03 root:DEBUG: At frame index 362, Removing ID pair [13, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:03 root:DEBUG: At frame index 362, Removing ID pair [1, 26] to the ids to ignore.
2021-09-07 Tuesday 17:53:06 root:DEBUG: At frame index 374, adding ID pair [32, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:07 root:DEBUG: At frame index 375, Removing ID pair [32, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:20 root:DEBUG: At frame index 421, adding ID pair [32, 9] to the ids to ignore.
2021-09-07 Tuesday 17:53:21 root:DEBUG: At frame index 422, Removing ID pair [32, 9] to the ids to ignore.
2021-09-07 Tuesday 17:53:33 root:DEBUG: At frame index 467, adding ID pair [2, 13] to the ids to ignore.
2021-09-07 Tuesday 17:53:33 root:DEBUG: At frame index 468, Removing ID pair [2, 13] to the ids to ignore.
2021-09-07 Tuesday 17:53:35 root:DEBUG: At frame index 475, adding ID pair [32, 27] to the ids to ignore.
2021-09-07 Tuesday 17:53:36 root:DEBUG: At frame index 476, Removing ID pair [32, 27] to the ids to ignore.
2021-09-07 Tuesday 17:53:36 root:DEBUG: At frame index 477, adding ID pair [10, 2] to the ids to ignore.
2021-09-07 Tuesday 17:53:36 root:DEBUG: At frame index 478, Removing ID pair [10, 2] to the ids to ignore.
